 ID, Name,                               Tc,         Pc,         Zc,      Omega,  Antoine-A,  Antoine-B,  Antoine-C
  0, "Acetaldehyde",              466.00000,   55.70000,    0.22138,    0.30300,    7.20812, 1099.81000,  233.94500
  1, "Acetic Acid",               594.80000,   57.86000,    0.20000,    0.44700,    8.02100, 1936.01000,  258.45100
  2, "Acetone",                   508.70000,   47.22000,    0.23800,    0.30400,    7.11714, 1210.59500,  229.66400
  3, "Acetonitrile",              547.90000,   48.30000,    0.18400,    0.32100,    7.33986, 1482.29000,  252.52300
  4, "Acetylene",                 309.50000,   62.42000,    0.27400,    0.19000,         na,         na,         na
  5, "Ammonia",                   405.50000,  112.77000,    0.24300,    0.25000,         na,         na,         na
  6, "Aniline",                   698.80000,   52.99000,    0.25000,    0.38400,         na,         na,         na
  7, "Argon",                     151.20000,   48.64000,    0.29000,    0.00100,         na,         na,         na
  8, "Benzene",                   562.10000,   49.24000,    0.27400,    0.21200,    6.87987, 1196.76000,  219.16100
  9, "Bromine",                   584.00000,  103.35000,    0.30600,    0.10800,         na,         na,         na
 10, "i-Butane",                  408.00000,   36.48000,    0.26200,    0.18300,         na,         na,         na
 11, "n-Butane",                  425.20000,   37.97000,    0.27400,    0.19900,         na,         na,         na
 12, "1-Butanol",                 563.00000,   44.14000,    0.25837,    0.59300,    7.36366, 1305.19800,  173.42700
 13, "2-Butanone",                       na,         na,         na,         na,    7.06356, 1261.33900,  221.96900
 14, "1-Butene",                  419.60000,   40.23000,    0.27700,    0.19100,         na,         na,         na
 15, "Butyl Amine",               531.90000,   42.50000,    0.26620,    3.29000,    7.21300, 1308.40000,  224.19000
 16, "Butyric Acid",              624.00000,   40.30000,    0.22526,    0.68300,    8.71019, 2433.01400,  255.18900
 17, "Carbon Dioxide",            304.20000,   73.87000,    0.27500,    0.23900,         na,         na,         na
 18, "Carbon Disulfide",          552.00000,   79.03000,    0.29300,    0.10900,    6.94279, 1169.11000,  241.59300
 19, "Carbon Monoxide",           133.00000,   34.96000,    0.29400,    0.06600,         na,         na,         na
 20, "Carbon Tetrachloride",      556.40000,   45.60000,    0.27200,    0.19300,    6.84083, 1177.91000,  220.57600
 21, "Chlorine",                  417.00000,   77.11000,    0.27600,    0.09000,         na,         na,         na
 22, "Chlorobenzene",             632.40000,   45.19000,    0.26500,    0.24900,    7.17294, 1549.20000,  229.26000
 23, "Chlorodifluoromethane",     369.60000,   49.14000,    0.26400,    0.22100,         na,         na,         na
 24, "Chloroform",                536.60000,   54.72000,    0.29400,    0.21800,    6.95465, 1170.96600,  226.23200
 25, "1-Chloropropane",           503.00000,   45.80000,    0.27816,    0.23500,    6.92648, 1110.19100,  227.94400
 26, "3-Chloro-1-Propene",               na,         na,         na,         na,    7.15382, 1226.35000,  242.24300
 27, "Cyclohexane",               553.40000,   40.70000,    0.27300,    0.21300,    6.85146, 1206.47000,  223.13600
 28, "Cyclopentane",              511.76000,   21.08000,    0.27600,    0.19600,         na,         na,         na
 29, "Decane",                    617.70000,   21.10000,    0.25636,    0.48900,    7.44000, 1843.12000,  230.22000
 30, "1,2-Dichloroethane",        561.00000,   54.00000,    0.26048,    0.27800,    7.02530, 1271.25400,  222.92700
 31, "Dichloromethane",           510.00000,   61.00000,         na,    0.19900,    7.40916, 1325.93800,  252.61600
 32, "Diethylamine",              499.99000,   37.58000,    0.27210,    0.29100,    5.80159,  583.29700,  144.14500
 33, "Diethyl ether",             467.00000,   39.62000,    0.26100,    0.28100,    7.18223, 1236.75000,  253.04000
 34, "Diisopropyl ether",         500.32000,   28.32000,    0.26278,    0.33100,    6.84953, 1139.34000,  218.74200
 35, "1,1-Dimethoxyethane",              na,         na,         na,         na,    6.71892, 1050.53200,  209.23700
 36, "Dimethylamine",             437.22000,   53.40000,    0.26808,    0.30200,    7.08212,  960.24200,  221.66700
 37, "2,3-Dimethylbutane",        500.00000,   31.50000,    0.27353,    0.24700,    6.81832, 1131.83300,  229.46200
 38, "2,6-Dimethyl pyridine",            na,         na,         na,         na,    7.05674, 1470.17200,  208.01500
 39, "1,4-Dioxane",               587.00000,   52.10000,    0.25406,    0.28100,    7.43155, 1554.67900,  240.33700
 40, "Ethane",                    305.43000,   48.84000,    0.28500,    0.09900,         na,         na,         na
 41, "1,2-Ethane diol",                  na,         na,         na,         na,    8.09083, 2088.93600,  203.45400
 42, "Ethanol",                   516.30000,   63.83000,    0.24800,    0.64400,    8.11220, 1592.86400,  226.18400
 43, "Ethyl Acetate",             523.30000,   38.30000,    0.25200,    0.36200,    7.10179, 1244.95100,  217.88100
 44, "Ethyl amine",               456.40000,   56.24000,    0.26800,    0.28900,         na,         na,         na
 45, "Ethylbenzene",              617.15000,   36.09000,    0.26305,    0.30200,    6.96580, 1429.55000,  213.76700
 46, "Ethylene",                  283.10000,   51.17000,    0.27000,    0.08900,         na,         na,         na
 47, "Ethylene oxide",            468.00000,   71.94000,    0.25500,    0.20200,         na,         na,         na
 48, "Ethyl formate",             508.50000,   47.40000,    0.25674,    0.28500,    7.00902, 1123.94300,  218.24700
 49, "Formaldehyde",              408.00000,   65.90000,    0.22340,    0.25300,    7.19578,  970.59500,  244.12400
 50, "Freon 11",                  471.20000,   43.77000,    0.27700,    0.18900,         na,         na,         na
 51, "Freon 12",                  384.70000,   40.12000,    0.27300,    0.20400,         na,         na,         na
