Comp1, Comp2, Margule-a12,  Margule-a21,  VanLaar-a12,  VanLaar-a21, Wilson-a12,  Wilson-a21, Wilson-v1, Wilson-v2,   NRTL-a12,   NRTL-a21, NRTL-alpha, UNIFAC-a12, UNIFAC-a21
    0,     8,      0.5028,      -0.4772,      0.50220,      0.08890,  5387.4244, -3233.52150,    50.000,    89.410, -10900.744,  15354.550,    0.06530,  815.90460, -793.29590
    0,    42,     -2.1035,      -0.0792,     -21.4912,     -0.63770,  5594.2535, -4857.42960,    50.000,    58.680, -1530.2122, -828.57620,    9.16900, -3443.8432,  3886.3133
    2,     8,      0.5176,       0.3283,      0.53370,      0.33790,  2722.4615, -1108.24530,    74.050,    89.410, -1180.6603,  2871.7430,    0.30150, -1293.6830,  2087.8892
    2,    24,     -1.0482,      -0.6055,     -1.10500,     -0.65790,  839.09680, -2612.28760,    74.050,    88.250, -4262.4660,  3520.1499,    0.28700, -2179.0099,  1922.1887
    2,    63,      0.2980,       0.7142,      0.36240,      0.79000, -2562.1897,  4926.76490,    74.050,    40.730,  4095.4955,  1665.6244,    0.30290,  3510.2054, -1420.9118
    2,    94,      0.5136,       0.6323,      0.52070,      0.63190,  599.20750,  1177.82230,    74.050,    76.920,  1479.4023,  251.51630,    0.30070,  500.66740,  196.07920
    2,   108,      0.3913,       0.5890,      0.41840,      0.59540,  1024.1957,  618.142800,    74.050,    106.85,  2157.3676, -501.37560,    0.29940,  273.97850,  132.85070
   12,     8,      0.7734,       1.3305,      0.79250,      1.45300,  383.67640,  3997.79450,    50.000,    89.410,  4759.9604, -565.86290,    0.29010,  1635.1110, -420.87550
   18,    63,      2.5978,       1.8151,      2.60620,      1.85690,  4800.0029,  3639.45970,    62.580,    40.730, -2564.4625,  9761.7017,    0.07370,  1445.3084,  3015.5251
   20,    42,      1.6358,       1.9486,      1.62110,      2.05340,  605.95230,  9981.77970,    101.28,    58.680,  9356.9494,  3346.3882,    0.51430,  3676.1828, -397.43190
   20,    93,      1.1535,       1.9768,      1.21890,      2.05470,  738.38380,  5759.44530,    101.28,    75.140,  4951.1033,  1263.8452,    0.41090,  3133.4394, -671.37360
   24,    63,      0.8320,       1.7365,      0.93560,      1.88600, -1513.4945,  7086.61100,    88.250,    40.730,  5708.7525, -562.05860,    0.29320,  5294.1251, -1147.0709
   42,     1,     -0.2389,       0.0091,     -0.25860,     -0.08660,  824.69910, -1109.78560,    58.680,    59.480, -1228.5620,  875.47180,    0.29920, -680.72410,  511.87700
   42,     8,      1.8362,       1.4717,      1.85700,      1.47850,  5289.4975,  1115.31710,    58.680,    89.410,  1625.1619,  4016.9799,    0.29100, -241.22870,  2799.5827
   42,    43,      0.9417,       0.6640,      0.94820,      0.69250,  3879.6724, -1082.58870,    58.680,    110.81, -149.86500,  2891.0351,    0.29790, -1014.9430,  2742.0398
   42,    94,      0.0382,      -0.0510,     -0.00800,      1.06600,  334.92170, -335.625700,    58.680,    76.920,  503.51960, -512.96420,    0.30400, -1467.0038,  2011.3449
   42,   108,      1.6485,       1.5707,      1.65060,      1.57020,  5316.4284,  972.599300,    58.680,    106.85,  2269.0755,  3231.3457,    0.29370, -408.13660,  2922.5299
   63,     8,      2.1411,       1.7950,      2.16230,      1.79250,  6971.2226,  950.498500,    40.730,    89.410,  3291.9421,  4619.3371,    0.47900, -226.32660,  4651.0615
   63,    20,      2.3187,       1.9027,      2.32650,      1.91180,  7365.2623,  871.172200,    40.730,    101.28,  2101.3461,  4944.3289,    0.24000, -195.89140,  5346.9635
   63,    42,      0.0342,       0.0130,      0.04150,      0.01550,  2122.5512, -1892.96920,    40.730,    58.680, -1292.6631,  1579.9663,    0.30530, -758.37370,  1034.8543
   63,    43,      1.0178,       1.0194,      1.01720,      1.02000,  4241.7110, -883.528400,    40.730,    110.81,  1428.2635,  1695.9190,    0.29770, -617.45220,  3236.1603
   63,    57,      2.9377,       2.6151,      3.00910,      2.59610,  12630.431,  1912.12200,    40.730,    146.53,  5387.1709,  8011.3450,    0.42400, -132.80890,  7653.0336
   63,    94,      0.0122,      -0.1767,      0.06460,      0.00060,  586.3614 ,  555.145700,    40.370,    76.920,  918.48950, -1049.9924,    0.30470, -1558.3433,  2332.5131
   63,   108,      1.9535,       2.0385,      1.94920,      2.04250,  7677.1579,  1097.10600,    40.730,    106.85,  4149.5839,  5155.2885,    0.50730, -202.79430,  4684.1004
   93,    22,      1.1172,       1.2587,      1.12390,      1.25860,  2994.3016,  1498.85300,    75.140,    104.11,  2387.4984,  1737.5424,    0.29460,  315.02470,  924.28800
   94,     9,      1.7688,       1.1250,      1.84320,      1.17220,  5143.2615,  820.053600,    76.920,    89.410,  396.92320,  4955.1419,    0.28930, -447.05920,  2424.2567
  108,    12,      0.8533,       1.2440,      0.88130,      1.27490,  300.46130,  3933.17050,    106.85,    50.000,  3946.7729,  75.489700,    0.29540,  1896.3543, -665.00410
