No,   k,      rk,      qk, Name
 1,   1, 0.90110, 0.84800, CH3
 1,   2, 0.67440, 0.54000, CH2
 1,   3, 0.44690, 0.22800, CH
 1,   4, 0.21950, 0.00000, C
 2,   5, 1.34540, 1.17600, CH3=CH
 2,   6, 1.11670, 0.86700, CH=CH
 2,   7, 1.11730, 0.98800, CH2=C
 2,   8, 0.88860, 0.67600, CH=C
 3,   9, 0.53130, 0.40000, ACH
 3,  10, 0.36520, 0.12000, AC
 4,  11, 1.26630, 0.96800, ACCH3
 4,  12, 1.03960, 0.66000, ACCH2
 4,  13, 0.81210, 0.34800, ACCH
 5,  14, 1.00000, 1.20000, OH
 6,  15, 1.43110, 1.43200, CH3OH
 7,  16, 0.92000, 1.40000, H2O
 8,  17, 0.89520, 0.68000, ACOH
 9,  18, 1.67240, 1.48800, CH3CO
 9,  19, 1.44570, 1.18000, CH2CO
10,  20, 0.99800, 0.94800, CHO
11,  21, 1.90310, 1.72800, CH3COO
11,  22, 1.67640, 1.42000, CH2COO
12,  23, 1.24200, 1.18800, HCOO
13,  24, 1.14500, 1.08800, CH3O
13,  25, 0.91830, 0.78000, CH2O
13,  26, 0.69080, 0.46800, ECHO
13,  27, 0.91830, 1.10000, THF
14,  28, 1.59590, 1.54400, CH3NH2
14,  29, 1.36920, 1.23600, CH2NH2
14,  30, 1.14170, 0.92400, CHNH2
15,  31, 1.43370, 1.24400, CH3NH
15,  32, 1.20700, 0.93600, CH2NH
15,  33, 0.97950, 0.62400, CHNH
16,  34, 1.18650, 0.94000, CH3N
16,  35, 0.95970, 0.63200, CH2N
17,  36, 1.06000, 0.81600, ACNH2
18,  37, 2.99930, 2.11300, C5H5N
18,  38, 2.83320, 1.83300, C5H4N
18,  39, 2.66700, 1.55300, C5H3N
19,  40, 1.87010, 1.72400, CH3CN
19,  41, 1.64340, 1.41600, CH2CN
20,  42, 1.30130, 1.22400, COOH
20,  43, 1.52800, 1.53200, HCOOH
21,  44, 1.46540, 1.26400, CH2CL
21,  45, 1.23800, 0.95200, CHCL
21,  46, 1.01060, 0.72400, CCL
22,  47, 2.25640, 1.99800, CH2CL2
22,  48, 2.06060, 1.68400, CHCL2
22,  49, 1.80160, 1.44800, CCL2
23,  50, 2.87000, 2.41000, CHCL3
23,  51, 2.64010, 2.18400, CCL3
24,  52, 3.39000, 2.91000, CCL4
25,  53, 1.15620, 0.84400, ACCL
26,  54, 2.00860, 1.86800, CH3NO2
26,  55, 1.78180, 1.56000, CH2NO2
26,  56, 1.55440, 1.24800, CHNO2
27,  57, 1.41990, 1.10400, ACNO2
28,  58, 2.05700, 1.65000, CS2
29,  59, 1.87700, 1.67600, CH3SH
29,  60, 1.65100, 1.36800, CH2SH
30,  61, 3.16800, 2.48400, FF
31,  62, 2.40880, 2.24800, DOH
32,  63, 1.26400, 0.99200, I
33,  64, 0.94920, 0.83200, Br
34,  65, 1.29200, 1.08800, CH=-C
34,  66, 1.06130, 0.78400, C=-C
35,  67, 2.82660, 2.47200, DMSO
36,  68, 2.31440, 2.05200, ACRY
37,  69, 0.79100, 0.72400, CL-C=C
2 ,  70, 0.66050, 0.84500, C=C
38,  71, 0.69480, 0.52400, ACF
39,  72, 3.08560, 2.73600, DMF
39,  73, 2.63220, 2.12000, HCON(CH2)2
40,  74, 1.40600, 1.38000, CF3
40,  75, 1.01050, 0.92000, CF2
40,  76, 0.61500, 0.46000, CF
41,  77, 1.38000, 1.20000, COO
42,  78, 1.60350, 1.26300, SIH3
42,  79, 1.44430, 1.00600, SIH2
42,  80, 1.28530, 0.74900, SIH
42,  81, 1.04700, 0.41000, SI
43,  82, 1.48380, 1.06200, SIH2O
43,  83, 1.30300, 0.76400, SIHO
43,  84, 1.10440, 0.46600, SIO
44,  85, 3.98100, 3.20000, NMP
45,  86, 3.03560, 2.64400, CCL3F
45,  87, 2.22870, 1.91600, CCL2F
45,  88, 2.40600, 2.11600, HCCL2F
45,  89, 1.64930, 1.41600, HCCLF
45,  90, 1.81740, 1.64800, CCLF2
45,  91, 1.96700, 1.82800, HCCLF2
45,  92, 2.17210, 2.10000, CCLF3
45,  93, 2.62430, 2.37600, CCL2F2
46,  94, 1.45150, 1.24800, CONH2
46,  95, 2.19050, 1.79600, CONHCH3
46,  96, 1.96370, 1.48800, CONHCH2
46,  97, 2.85890, 2.42800, CON(CH3)2
46,  98, 2.63220, 2.12000, CONCH3CH2
46,  99, 2.40540, 1.81200, CON(CH2)2
47, 100, 2.12260, 1.90400, C2H5O2
47, 101, 1.89520, 1.59200, C2H4O2
48, 102, 1.61300, 1.36800, CH3S
48, 103, 1.38630, 1.06000, CH2S
48, 104, 1.15890, 0.74800, CHS
49, 105, 3.47400, 2.79600, MORPH
50, 106, 2.85690, 2.14000, C4H4S
50, 107, 2.69080, 1.86000, C4H3S
50, 108, 2.52470, 1.58000, C4H2S
