       1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25,        26,        27,        28,        29,        30,        31,        32,        33,        34,        35,        36,        37,        38,        39,        40,        41,        42,        43,        44,        45,        46,        47,        48,        49,        50
   0.000,    86.020,    61.130,    76.500,   986.500,   697.200,  1318.000,  1333.000,   476.400,   677.000,   232.100,   507.000,   251.500,   391.500,   255.700,   206.600,   920.700,   287.800,   597.000,   663.500,    35.930,    53.760,    24.900,   104.300,    11.440,   661.500,   543.000,   153.600,   184.400,   354.600,  3025.000,   335.800,   479.500,   298.900,   526.500,   689.000,    -4.189,   125.800,   485.300,    -2.859,   387.100,  -450.400,   252.700,   220.300,    -5.869,   390.900,   553.300,   187.000,   216.100,    92.990
 -35.360,     0.000,    38.810,    74.150,   524.100,   787.600,   270.600,   526.100,   182.600,   448.800,    37.850,   333.500,   214.500,   240.900,   163.900,    61.110,   749.300,   280.500,   336.900,   318.900,   -36.870,    58.550,   -13.990,  -109.700,   100.100,   357.500,        na,    76.300,        na,   262.900,        na,        na,   183.800,    31.140,   179.000,   -52.870,   -66.460,   359.300,   -70.450,   449.400,    48.330,        na,        na,    86.460,        na,   200.200,   268.100,  -617.000,    62.560,        na
 -11.120,     3.446,     0.000,   167.000,   636.100,   637.400,   903.800,  1329.000,    25.770,   347.300,     5.994,   287.100,    32.140,   161.700,   122.800,    90.490,   648.200,    -4.449,   212.500,   537.400,   -18.810,  -144.400,  -231.900,     3.000,   187.000,   168.000,   194.900,    52.070,   -10.430,   -64.690,   210.700,   113.300,   261.300,        na,   169.900,   383.900,  -259.100,   389.300,   245.600,    22.670,   103.500,  -432.300,   238.900,    30.040,   -88.110,        na,   333.300,        na,   -59.580,   -39.160
 -69.700,  -113.600,  -146.800,     0.000,   803.200,   603.300,  5695.000,   884.900,   -52.100,   586.800,  5688.000,   197.800,   213.100,    19.020,   -49.290,    23.500,   664.200,    52.800,  6096.000,   872.300,  -114.100,  -111.000,   -80.250,  -141.300,  -211.000,  3629.000,  4448.000,    -9.451,   393.600,    48.490,  4975.000,   259.000,   210.000,        na,  4284.000,  -119.200,  -282.500,   101.400,  5629.000,        na,    69.260,        na,        na,    46.380,        na,        na,   421.900,        na,  -203.600,   184.900
 156.400,   457.000,    89.600,    25.820,     0.000,  -137.100,   353.500,  -259.700,    84.000,  -203.600,   101.100,   267.800,    28.060,     8.642,    42.700,  -323.000,   -52.390,   170.000,     6.712,   199.000,    75.620,    65.280,   -98.120,   143.100,   123.500,   256.500,   157.100,   488.900,   147.500,  -120.500,  -318.900,   313.500,   202.100,   727.800,  -202.100,    74.270,   225.800,    44.780,  -143.900,        na,   190.300,  -817.700,        na,  -504.200,    72.960,  -382.700,  -248.300,        na,   104.700,    57.650
  16.510,   -12.520,   -50.000,   -44.500,   249.100,     0.000,  -181.000,  -101.700,    23.390,   306.400,   -10.720,   179.700,  -128.600,   359.300,   -20.980,    53.900,   489.700,   580.500,    53.280,  -202.000,   -38.320,  -102.500,  -139.400,   -44.760,   -28.250,    75.140,        na,   -31.090,    17.500,        na,  -119.200,   212.100,   106.300,        na,  -399.300,    -5.224,   -33.470,   -48.250,  -172.400,        na,   165.700,        na,        na,        na,   -52.100,        na,        na,    37.630,   -59.400,   -46.010
 300.000,   496.100,   362.300,   377.600,  -229.100,   289.600,     0.000,   324.500,  -195.400,  -116.000,    72.870,        na,   540.500,    48.890,   168.000,   304.000,   243.200,   459.000,   112.600,   -14.090,   325.400,   370.400,   353.700,   497.500,   133.900,   220.600,   399.500,   887.100,        na,   188.000,    12.720,        na,        na,        na,  -139.000,   160.800,        na,        na,   319.000,        na,  -197.500,  -363.800,        na,  -452.200,        na,   835.600,   139.600,        na,   407.900,        na
 275.800,   217.500,    25.340,   244.200,  -451.600,  -265.200,  -601.800,     0.000,  -356.100,  -271.100,  -449.400,        na,  -162.900,        na,        na,        na,   119.900,  -305.500,        na,   408.900,        na,        na,        na,  1827.000,  6915.000,        na,        na,  8484.000,        na,        na,  -687.100,        na,        na,        na,        na,        na,        na,        na,        na,        na,  -494.200,        na,        na,  -659.000,        na,        na,        na,        na,        na,  1005.000
  26.760,    42.920,   140.100,   365.800,   164.500,   108.700,   472.500,  -133.100,     0.000,   -37.360,  -213.700,  -190.400,  -103.600,        na,  -174.200,  -169.000,  6201.000,     7.341,   481.700,   669.400,  -191.700,  -130.300,  -354.600,   -39.200,  -119.800,   137.500,   548.500,   216.100,   -46.280,  -163.700,    71.460,    53.590,   245.200,  -246.600,   -44.580,        na,   -34.570,        na,   -61.700,        na,   -18.800,  -588.900,        na,        na,        na,        na,    37.540,        na,        na,  -162.600
 505.700,    56.300,    23.390,   106.000,   529.000,  -340.200,   480.800,  -155.600,   128.000,     0.000,  -110.300,   766.000,   304.100,        na,        na,        na,        na,        na,        na,   497.500,   751.900,    67.520,   483.700,        na,        na,        na,        na,        na,        na,        na,        na,   117.000,        na,        na,        na,  -339.200,   172.400,        na,  -268.800,        na,  -275.500,        na,        na,        na,        na,        na,        na,        na,        na,        na
 114.800,   132.100,    85.840,  -170.000,   245.400,   249.600,   200.800,   -36.720,   372.200,   185.100,     0.000,  -241.800,  -235.700,        na,   -73.500,  -196.700,   475.500,        na,   494.600,   660.200,   -34.740,   108.900,  -209.700,    54.570,   442.400,   -81.130,        na,   183.000,        na,   202.300,  -101.700,   148.300,    18.880,        na,    52.080,   -28.610,  -275.200,        na,    85.330,        na,   560.200,        na,        na,        na,        na,        na,   151.800,        na,        na,        na
 329.300,   110.400,    18.120,   428.000,   139.400,   227.800,        na,        na,   385.400,  -236.500,  1167.000,     0.000,  -234.000,        na,        na,        na,        na,  -233.400,   -47.250,  -268.100,        na,        na,  -126.200,   179.700,    24.280,        na,        na,        na,   103.900,        na,        na,        na,        na,        na,        na,        na,   -11.400,        na,   308.900,        na,  -122.300,        na,        na,        na,        na,        na,        na,        na,        na,        na
  83.360,    26.510,    52.130,    65.690,   237.700,   238.400,  -314.700,  -178.500,   191.100,    -7.838,   461.300,   457.300,     0.000,   -78.360,   251.500,  5422.000,        na,   213.200,   -18.510,   664.600,   301.100,   137.800,  -154.300,    47.670,   134.800,    95.180,        na,   140.900,    -8.538,   170.100,   -20.110,  -149.500,  -202.300,        na,   128.800,        na,   240.200,  -274.000,   254.800,        na,   417.000,  1338.000,        na,        na,        na,        na,        na,        na,        na,        na
